,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Temperature","Used Space"
12/28/2024 19:56:09,20.40932,10.6060619,9.848488,0.757575035,10.4053612,57,52,48,49,58,3504.82935,2904.00146,2904.00146,2904.00146,13.1496668,7.324559,0.0671555251,1.1366235,100.137985,28.6470032,9.1222,22.7212753,39,139,405.000031,278,0,0,0,1,6144,113,6031,1.83919275,5.44800043,0,0.048828125,57.27721,30,62.95303
12/28/2024 19:56:10,10.4838734,0,1.61290169,0,3.02419066,46,45,45,47,47,3604.96533,3705.10327,3604.96533,3705.10327,4.82460642,2.61942482,0.0157458987,1.08810461,100.137924,28.6449814,9.121555,22.72192,0,139,405.000031,278,0,0,0,1,6144,113,6031,1.83919275,8.203,20.9960938,3.22265625,57.27721,30,62.95303
12/28/2024 19:56:11,3.15020084,0.78125,18.75,6.25,7.23286247,45,45,44,43,45,901.240662,1001.37854,2903.9978,3905.37622,12.8031492,7.00830746,0.0128748249,1.11526072,100.137856,28.6414185,9.120422,22.723053,0,139,405.000031,278,0,0,0,1,6144,113,6031,1.83919275,8.183001,21.484375,2.78320313,57.27721,30,62.95303
12/28/2024 19:56:12,16.40625,0.78125,10.9375,12.5,10.15625,46,47,44,55,55,3504.83081,3905.38281,1602.20837,1602.20837,12.0479937,6.90498734,0.0212518182,1.09715,100.138023,28.6436081,9.12112,22.7223549,39,139,405.000031,278,0,0,0,0,6144,113,6031,1.83919275,5.76300049,0.048828125,0.048828125,57.27721,30,62.95303
12/28/2024 19:56:13,5.384612,5.384612,1.53846145,3.076923,3.8461566,44,44,44,44,45,901.24054,901.24054,901.24054,2303.17017,4.628257,2.40269184,0.05227816,1.126053,100.137833,28.6427841,9.120857,22.7226181,0,139,405.000031,278,0,0,0,0,6144,113,6031,1.83919275,8.201,21.7773438,3.515625,57.27721,30,62.95303
12/28/2024 19:56:14,14.25398,4.72972965,17.5675621,8.108103,11.16485,60,48,46,44,60,3705.10449,3905.38037,3504.82861,1101.51758,12.1497478,6.66198874,0.0144067528,1.09559929,100.137955,28.6369553,9.119003,22.724472,0,139,405.000031,278,0,0,0,0,6144,113,6031,1.83919275,8.206,19.53125,3.61328125,57.27721,30,62.95303
12/28/2024 19:56:15,17.272728,0,14.5454521,2.72727013,8.636361,47,47,57,46,56,3504.829,3504.829,3905.381,3604.96729,12.7072372,7.235809,0.04547482,1.12149966,100.137978,28.64215,9.120655,22.72282,39,139,405.000031,278,0,0,0,0,6144,113,6031,1.83919275,5.91600037,0.048828125,0.048828125,57.27721,30,62.95303
12/28/2024 19:56:16,10.0240345,2.30768919,0,0.7692337,3.27523947,45,45,44,43,45,1001.37854,1902.61914,1902.61914,1902.61914,4.34247,2.16976881,0.0113697592,1.09287322,100.137848,28.6446228,9.121445,22.72203,0,139,405.000031,278,0,0,0,0,6144,113,6031,1.83919275,8.198,20.2148438,3.07617188,57.27721,30,62.95303
12/28/2024 19:56:17,20.27027,2.02702284,7.432431,4.0540576,8.445942,59,48,46,44,59,3504.82813,3604.966,1101.51746,1101.51746,11.878376,6.51082468,0.0163248964,1.09747827,100.137947,28.6380386,9.119347,22.7241287,0,139,405.000031,278,0,0,0,0,6144,113,6031,1.83919275,8.203,2.00195313,8.105469,57.27721,30,62.95303
